"","long","lat"
"1",113.2749675,22.99427871
"2",114.1231236,22.57363148
"3",104.1199083,30.69755719
"4",106.5567889,29.61502393
"5",116.3276942,39.90347316
"8",102.727788,25.023328
"9",116.4336486,39.90984037
"10",117.212374,39.142145
"12",120.2193642,30.29749659
"14",116.3861029,39.87107451
"15",114.124405,22.538206
"16",113.6802721,22.86720304
"18",121.3263205,31.20045605
"22",125.330782,43.918834
"23",113.0701475,28.15284434
"24",114.4969521,38.04857818
"25",104.080189,30.701485
"26",126.5848557,43.86565486
"29",114.2619258,30.62408841
"30",120.6173997,31.33510589
"36",108.4134386,30.71005418
"37",105.091238,29.615199
"39",103.798873,25.532557
"41",113.5568654,22.22139652
"42",106.70959,26.56296765
"43",113.2141612,29.37209447
"46",104.7238149,31.46550022
"48",121.4620958,31.25607113
"49",109.499415,18.302055
"50",113.2642486,23.15432789
"51",108.9455252,34.38080189
"53",113.276382,22.653592
"54",109.8432544,40.6113773
"56",109.395356,24.31337958
"58",112.6172866,37.79746074
"60",113.330283,23.155301
"61",114.4989718,22.79104927
"64",126.6393456,45.76753878
"65",111.672382,40.836017
"66",109.9998426,27.51849119
"67",109.4877557,36.56326299
"69",107.4597362,31.20424759
"73",113.463092,30.43352318
"77",120.5455881,30.1052302
"78",119.3267768,26.1194359
"81",112.2195697,30.37678289
"82",112.716106,26.90251817
"83",121.5435121,29.86835788
"85",108.4207618,22.84667321
"86",113.017738,28.200001
"89",110.3498751,19.98957323
"91",120.052217,29.384413
"96",118.7859522,32.0119162
"97",106.092083,30.813659
"98",120.1890539,30.24954349
"100",115.924139,28.669222
"101",105.549486,30.547836
"102",117.322964,31.890094
"104",113.389123,22.56388195
"105",114.427638,30.612009
"109",116.715353,39.515289
"114",112.9765809,25.74175732
"115",108.32367,22.83251
"118",118.1217981,24.54486658
"119",113.2108287,22.6044178
"129",127.3517419,43.71675608
"133",107.238897,34.33932291
"134",113.6658486,34.75278752
"137",126.0050997,46.08399518
"138",120.9570462,31.35904473
"141",103.409028,23.37767792
"142",114.9708711,25.82554935
"143",108.9683135,34.28360492
"145",125.129666,46.53926
"146",118.5741955,24.97952068
"157",112.593162,37.865103
"160",123.3997391,41.80125432
"167",105.9558857,29.37770553
"168",123.4431029,41.8242202
"172",118.063322,36.795132
"174",121.1748005,30.10451372
"175",112.0220267,27.66962245
"177",111.3769534,30.66450497
"178",120.313728,31.595398
"179",117.0258093,32.63696307
"183",106.6824547,26.62565891
"185",113.2520257,23.16545078
"188",117.2969922,31.80428115
"189",115.7993915,28.62951482
"196",119.104459,36.704375
"199",115.435097,22.81701
"202",106.5749221,31.07094424
"204",124.001685,47.345548
"206",111.144251,37.574541
"207",118.1225991,24.47397765
"208",105.949256,26.235587
"221",123.1751641,41.28757537
"223",109.2508714,23.75809368
"224",114.0126035,22.98933767
"228",113.309648,40.126337
"230",101.820621,36.625588
"232",106.2840381,29.96563118
"233",109.488523,34.54270159
"237",111.4721353,36.10844026
"239",104.689329,30.131355
"241",104.3912233,31.1571138
"244",116.9975614,36.67700086
"247",118.279402,26.596239
"250",101.534626,37.433141
"256",113.7845631,34.76549362
"258",119.9782475,31.79104966
"259",109.1346629,21.45861
"262",114.3333208,22.71334649
"263",116.205997,23.272467
"267",109.5003718,34.49017326
"277",104.8074657,29.81383624
"278",104.8586006,26.59709213
"279",113.2415,35.228637
"286",113.827409,34.025897
"289",119.598751,39.970664
"293",107.696788,29.851283
"294",107.159307,34.379103
"296",112.4425866,34.69174652
"299",117.022709,39.378725
"301",119.642135,29.116588
"303",127.022118,46.65021241
"304",119.069246,25.356962
"305",114.0445045,22.97221758
"306",113.8661373,35.31195135
"308",109.8342,34.903853
"309",86.201564,41.752853
"310",113.1265756,29.38234638
"315",87.59373765,43.787749
"317",122.9923668,41.11886986
"318",120.191678,29.732931
"322",118.8033377,32.09266522
"323",107.9482386,26.63174233
"330",118.014254,28.496101
"331",114.012741,22.989424
"332",124.3943545,40.13002153
"335",107.2831202,29.77463928
"337",113.316281,22.757867
"341",115.4858,38.869745
"344",115.6083234,38.86990494
"347",114.325711,30.533607
"352",116.8417914,38.37594899
"362",123.7653787,41.30099918
"363",109.619746,23.104792
"364",107.018962,30.810501
"365",117.012833,25.102331
"366",125.723736,44.539018
"371",120.8064868,30.69638309
"372",109.7267322,38.27948066
"378",129.4713015,43.0596666
"381",114.0493635,33.57668167
"387",115.663366,34.44975
"399",107.0819049,29.88592067
"400",114.34631,36.11086397
"402",116.0122548,29.71077176
"406",113.106447,41.037129
"411",124.8929584,46.6629738
"414",118.398365,31.353967
"418",111.4676057,27.21855988
"442",114.483854,36.609942
"444",126.585955,45.71244502
"445",104.125607,26.214442
"446",117.3111726,34.27304607
"450",116.8976101,36.6748693
"451",110.288964,25.26755498
"453",107.4444445,30.25949845
"456",117.8132746,26.3816565
"457",110.2925049,18.83988591
"459",116.5940217,23.54459977
"460",114.4721847,38.07234839
"465",116.5063813,31.7218083
"468",115.8748398,32.920308
"469",129.6186679,44.59705296
"472",119.4395124,32.20446906
"478",100.255874,25.594977
"479",114.4233675,23.15764033
"486",120.0297059,30.86908965
"493",114.359762,34.778127
"495",120.320696,36.070641
"496",114.4987515,37.07595091
"498",120.6496539,31.4275264
"499",120.9414282,30.79435095
"506",125.8441106,44.15532752
"508",110.9904404,35.10530314
"509",114.06001,22.545424
"510",124.8183155,43.5153408
"515",113.9863217,33.00673924
"516",110.0392522,18.54252759
"519",111.5775714,26.46015012
"522",124.37975,43.173757
"524",105.2529577,29.36786875
"526",106.5992138,30.45771908
"530",113.163102,27.840803
"534",118.1257128,39.82241705
"535",112.9456705,30.39570671
"536",108.1040365,29.97136028
"538",94.913548,36.388925
"540",87.59260605,43.78650973
"544",113.282846,22.88201
"545",91.076746,29.629291
"547",122.0143322,39.63165405
"553",105.5126565,29.47119589
"556",118.887732,28.9291521
"557",121.640214,38.927138
"562",115.697531,37.75076836
"568",111.701562,29.077476
"571",112.7947185,26.42059962
"573",121.426519,29.34300392
"577",121.6286912,38.9311525
"580",126.7172399,45.79488344
"581",113.520746,24.756814
"583",124.039012,42.552118
"586",125.2073551,43.88256491
"598",105.470956,26.231798
"599",112.7531748,38.42538707
"600",109.491446,30.354519
